nombre_distrito;n_distrito;nombre_especie;n_unidades;
centro;01;ligustrumjaponicum'variegata';2641;
centro;01;sophora_japonica;1577;
centro;01;platanus_x_hybrida;1432;
centro;01;aesculus_hippocastanum;510;
centro;01;ulmus_pumila;369;
centro;01;pyrus_calleryana_'chanticleer';368;
centro;01;prunus_cerasifera_subsp._pissartii;356;
centro;01;robinia_pseudoacacia;306;
centro;01;ligustrumjaponicum'variegata';303;
centro;01;otros;4079;
;;total;11941;
arganzuela;02;platanus_x_hybrida;3454;
arganzuela;02;sophora_japonica;2400;
arganzuela;02;celtis_australis;1565;
arganzuela;02;pinus_pinea;1362;
arganzuela;02;ulmus_pumila;1293;
arganzuela;02;ligustrum_japonicum;1277;
arganzuela;02;robinia_pseudoacacia;1261;
arganzuela;02;acer_negundo;1191;
arganzuela;02;melia_azedarach;1090;
arganzuela;02;prunus_cerasifera_subsp._pissartii;696;
arganzuela;02;gleditsia_triacanthos;668;
arganzuela;02;otros;7722;
;;total;23979;
retiro;03;platanus_x_hybrida;2586;
retiro;03;sophora_japonica;2360;
retiro;03;ulmus_pumila;1934;
retiro;03;ligustrum_japonicum;978;
retiro;03;pinus_pinea;883;
retiro;03;robinia_pseudoacacia;592;
retiro;03;celtis_australis;457;
retiro;03;x_cupressocyparis_leylandii;444;
retiro;03;cupressus_sempervirens;423;
retiro;03;cupressus_arizonica;380;
retiro;03;liquidambar_styraciflua;328;
retiro;03;prunus_cerasifera_subsp._pissartii;304;
retiro;03;aesculus_hippocastanum;300;
retiro;03;otros;3206;
;;total;15175;
salamanca;04;sophora_japonica;5917;
salamanca;04;platanus_x_hybrida;2482;
salamanca;04;ligustrum_japonicum;1859;
salamanca;04;pinus_pinea;913;
salamanca;04;ulmus_pumila;881;
salamanca;04;aesculus_hippocastanum;668;
salamanca;04;robinia_pseudoacacia;564;
salamanca;04;prunus_cerasifera_subsp._pissartii;534;
salamanca;04;acer_negundo;402;
salamanca;04;populusalba_'bolleana';352;
salamanca;04;otros;5965;
;;total;20537;
chamartin;05;platanus_x_hybrida;6061;
chamartin;05;sophora_japonica;3743;
chamartin;05;ulmus_pumila;2582;
chamartin;05;pinus_pinea;1340;
chamartin;05;celtis_australis;1168;
